"year","state","month","number","date"
2002,"Acre","Mar�o",0,2002-01-01
2003,"Acre","Mar�o",0,2003-01-01
2004,"Acre","Mar�o",0,2004-01-01
2005,"Acre","Mar�o",3,2005-01-01
2006,"Acre","Mar�o",0,2006-01-01
2007,"Acre","Mar�o",2,2007-01-01
2008,"Acre","Mar�o",0,2008-01-01
2009,"Acre","Mar�o",1,2009-01-01
2010,"Acre","Mar�o",0,2010-01-01
2011,"Acre","Mar�o",0,2011-01-01
2012,"Acre","Mar�o",1,2012-01-01
2013,"Acre","Mar�o",2,2013-01-01
2014,"Acre","Mar�o",1,2014-01-01
2015,"Acre","Mar�o",2,2015-01-01
2016,"Acre","Mar�o",0,2016-01-01
2017,"Acre","Mar�o",0,2017-01-01
1998,"Acre","Abril",0,1998-01-01
1999,"Acre","Abril",0,1999-01-01
2000,"Acre","Abril",1,2000-01-01
2001,"Acre","Abril",0,2001-01-01
2002,"Acre","Abril",0,2002-01-01
2003,"Acre","Abril",1,2003-01-01
2004,"Acre","Abril",2,2004-01-01
2005,"Acre","Abril",1,2005-01-01
2006,"Acre","Abril",0,2006-01-01
2007,"Acre","Abril",0,2007-01-01
2008,"Acre","Abril",0,2008-01-01
2009,"Acre","Abril",0,2009-01-01
2010,"Acre","Abril",3,2010-01-01
2011,"Acre","Abril",2,2011-01-01
2012,"Acre","Abril",1,2012-01-01
2013,"Acre","Abril",19,2013-01-01
2014,"Acre","Abril",7,2014-01-01
2015,"Acre","Abril",3,2015-01-01
2016,"Acre","Abril",0,2016-01-01
2017,"Acre","Abril",1,2017-01-01
1998,"Acre","Maio",0,1998-01-01
1999,"Acre","Maio",0,1999-01-01
2000,"Acre","Maio",1,2000-01-01
2001,"Acre","Maio",0,2001-01-01
2002,"Acre","Maio",0,2002-01-01
2003,"Acre","Maio",6,2003-01-01
2004,"Acre","Maio",7,2004-01-01
2005,"Acre","Maio",2,2005-01-01
2006,"Acre","Maio",8,2006-01-01
2007,"Acre","Maio",1,2007-01-01
2008,"Acre","Maio",0,2008-01-01
2009,"Acre","Maio",3,2009-01-01
2010,"Acre","Maio",9,2010-01-01
2011,"Acre","Maio",3,2011-01-01
2012,"Acre","Maio",3,2012-01-01
2013,"Acre","Maio",4,2013-01-01
2014,"Acre","Maio",1,2014-01-01
2015,"Acre","Maio",2,2015-01-01
2016,"Acre","Maio",21,2016-01-01
2017,"Acre","Maio",10,2017-01-01
1998,"Acre","Junho",3,1998-01-01
1999,"Acre","Junho",0,1999-01-01
2000,"Acre","Junho",1,2000-01-01
2001,"Acre","Junho",1,2001-01-01
2002,"Acre","Junho",0,2002-01-01
2003,"Acre","Junho",0,2003-01-01
2004,"Acre","Junho",5,2004-01-01
2005,"Acre","Junho",27,2005-01-01
2006,"Acre","Junho",1,2006-01-01
2007,"Acre","Junho",4,2007-01-01
2008,"Acre","Junho",0,2008-01-01
2009,"Acre","Junho",0,2009-01-01
2010,"Acre","Junho",1,2010-01-01
2011,"Acre","Junho",10,2011-01-01
2012,"Acre","Junho",7,2012-01-01
2013,"Acre","Junho",8,2013-01-01
2014,"Acre","Junho",17,2014-01-01
2015,"Acre","Junho",40,2015-01-01
2016,"Acre","Junho",87,2016-01-01
2017,"Acre","Junho",45,2017-01-01
1998,"Acre","Julho",37,1998-01-01
1999,"Acre","Julho",1,1999-01-01
2000,"Acre","Julho",1,2000-01-01
2001,"Acre","Julho",3,2001-01-01
2002,"Acre","Julho",39,2002-01-01
2003,"Acre","Julho",168,2003-01-01
2004,"Acre","Julho",42,2004-01-01
2005,"Acre","Julho",368,2005-01-01
2006,"Acre","Julho",33,2006-01-01
2007,"Acre","Julho",29,2007-01-01
2008,"Acre","Julho",41,2008-01-01
2009,"Acre","Julho",31,2009-01-01
2010,"Acre","Julho",126,2010-01-01
2011,"Acre","Julho",93,2011-01-01
2012,"Acre","Julho",71,2012-01-01
2013,"Acre","Julho",54,2013-01-01
2014,"Acre","Julho",60,2014-01-01
2015,"Acre","Julho",109,2015-01-01
2016,"Acre","Julho",533,2016-01-01
2017,"Acre","Julho",457,2017-01-01
1998,"Acre","Agosto",130,1998-01-01
1999,"Acre","Agosto",63,1999-01-01
2000,"Acre","Agosto",136,2000-01-01
2001,"Acre","Agosto",396,2001-01-01
2002,"Acre","Agosto",728,2002-01-01
2003,"Acre","Agosto",1.976,2003-01-01
2004,"Acre","Agosto",645,2004-01-01
2005,"Acre","Agosto",4.198,2005-01-01
2006,"Acre","Agosto",839,2006-01-01
2007,"Acre","Agosto",960,2007-01-01
2008,"Acre","Agosto",445,2008-01-01
2009,"Acre","Agosto",194,2009-01-01
2010,"Acre","Agosto",1.682,2010-01-01
2011,"Acre","Agosto",425,2011-01-01
2012,"Acre","Agosto",739,2012-01-01
2013,"Acre","Agosto",679,2013-01-01
2014,"Acre","Agosto",1.1,2014-01-01
2015,"Acre","Agosto",1.397,2015-01-01
2016,"Acre","Agosto",2.188,2016-01-01
2017,"Acre","Agosto",1.493,2017-01-01
1998,"Acre","Setembro",509,1998-01-01
1999,"Acre","Setembro",209,1999-01-01
2000,"Acre","Setembro",265,2000-01-01
2001,"Acre","Setembro",290,2001-01-01
2002,"Acre","Setembro",1.949,2002-01-01
2003,"Acre","Setembro",3.942,2003-01-01
2004,"Acre","Setembro",1.978,2004-01-01
2005,"Acre","Setembro",4.253,2005-01-01
2006,"Acre","Setembro",2.37,2006-01-01
2007,"Acre","Setembro",2.08,2007-01-01
2008,"Acre","Setembro",1.666,2008-01-01
2009,"Acre","Setembro",1.265,2009-01-01
2010,"Acre","Setembro",2.531,2010-01-01
2011,"Acre","Setembro",1.204,2011-01-01
2012,"Acre","Setembro",1.996,2012-01-01
2013,"Acre","Setembro",2.136,2013-01-01
2014,"Acre","Setembro",2.175,2014-01-01
2015,"Acre","Setembro",2.928,2015-01-01
2016,"Acre","Setembro",3.586,2016-01-01
2017,"Acre","Setembro",3.429,2017-01-01
1998,"Acre","Outubro",44,1998-01-01
1999,"Acre","Outubro",60,1999-01-01
2000,"Acre","Outubro",18,2000-01-01
2001,"Acre","Outubro",137,2001-01-01
2002,"Acre","Outubro",687,2002-01-01
2003,"Acre","Outubro",740,2003-01-01
2004,"Acre","Outubro",461,2004-01-01
2005,"Acre","Outubro",547,2005-01-01
2006,"Acre","Outubro",316,2006-01-01
2007,"Acre","Outubro",203,2007-01-01
2008,"Acre","Outubro",652,2008-01-01
2009,"Acre","Outubro",565,2009-01-01
2010,"Acre","Outubro",292,2010-01-01
2011,"Acre","Outubro",97,2011-01-01
2012,"Acre","Outubro",348,2012-01-01
2013,"Acre","Outubro",258,2013-01-01
2014,"Acre","Outubro",406,2014-01-01
2015,"Acre","Outubro",905,2015-01-01
2016,"Acre","Outubro",509,2016-01-01
2017,"Acre","Outubro",1.508,2017-01-01
1998,"Acre","Novembro",0,1998-01-01
1999,"Acre","Novembro",0,1999-01-01
2000,"Acre","Novembro",0,2000-01-01
2001,"Acre","Novembro",1,2001-01-01
2002,"Acre","Novembro",86,2002-01-01
2003,"Acre","Novembro",15,2003-01-01
2004,"Acre","Novembro",10,2004-01-01
2005,"Acre","Novembro",14,2005-01-01
2006,"Acre","Novembro",18,2006-01-01
2007,"Acre","Novembro",7,2007-01-01
2008,"Acre","Novembro",4,2008-01-01
2009,"Acre","Novembro",33,2009-01-01
2010,"Acre","Novembro",39,2010-01-01
2011,"Acre","Novembro",74,2011-01-01
2012,"Acre","Novembro",13,2012-01-01
2013,"Acre","Novembro",79,2013-01-01
2014,"Acre","Novembro",56,2014-01-01
2015,"Acre","Novembro",115,2015-01-01
2016,"Acre","Novembro",46,2016-01-01
2017,"Acre","Novembro",98,2017-01-01
1998,"Acre","Dezembro",7,1998-01-01
1999,"Acre","Dezembro",0,1999-01-01
2000,"Acre","Dezembro",0,2000-01-01
2001,"Acre","Dezembro",0,2001-01-01
2002,"Acre","Dezembro",1,2002-01-01
2003,"Acre","Dezembro",1,2003-01-01
2004,"Acre","Dezembro",7,2004-01-01
2005,"Acre","Dezembro",2,2005-01-01
2006,"Acre","Dezembro",0,2006-01-01
2007,"Acre","Dezembro",0,2007-01-01
2008,"Acre","Dezembro",0,2008-01-01
2009,"Acre","Dezembro",1,2009-01-01
2010,"Acre","Dezembro",0,2010-01-01
2011,"Acre","Dezembro",4,2011-01-01
2012,"Acre","Dezembro",1,2012-01-01
2013,"Acre","Dezembro",3,2013-01-01
2014,"Acre","Dezembro",6,2014-01-01
2015,"Acre","Dezembro",8,2015-01-01
2016,"Acre","Dezembro",6,2016-01-01
1998,"Alagoas","Janeiro",0,1998-01-01
1999,"Alagoas","Janeiro",58,1999-01-01
2000,"Alagoas","Janeiro",11,2000-01-01
2001,"Alagoas","Janeiro",5,2001-01-01
2002,"Alagoas","Janeiro",12,2002-01-01
2003,"Alagoas","Janeiro",150,2003-01-01
2004,"Alagoas","Janeiro",9,2004-01-01
2005,"Alagoas","Janeiro",83,2005-01-01
2006,"Alagoas","Janeiro",29,2006-01-01
2007,"Alagoas","Janeiro",33,2007-01-01
2008,"Alagoas","Janeiro",55,2008-01-01
2009,"Alagoas","Janeiro",104,2009-01-01
2010,"Alagoas","Janeiro",23,2010-01-01
2011,"Alagoas","Janeiro",41,2011-01-01
2012,"Alagoas","Janeiro",36,2012-01-01
2013,"Alagoas","Janeiro",49,2013-01-01
2014,"Alagoas","Janeiro",54,2014-01-01
2015,"Alagoas","Janeiro",81,2015-01-01
2016,"Alagoas","Janeiro",24,2016-01-01
2017,"Alagoas","Janeiro",38,2017-01-01
2017,"Alagoas","Janeiro",38,2017-01-01
1998,"Alagoas","Fevereiro",0,1998-01-01
1999,"Alagoas","Fevereiro",20,1999-01-01
2000,"Alagoas","Fevereiro",16,2000-01-01
2001,"Alagoas","Fevereiro",4,2001-01-01
2002,"Alagoas","Fevereiro",15,2002-01-01
2003,"Alagoas","Fevereiro",33,2003-01-01
2004,"Alagoas","Fevereiro",7,2004-01-01
2005,"Alagoas","Fevereiro",31,2005-01-01
2006,"Alagoas","Fevereiro",14,2006-01-01
2007,"Alagoas","Fevereiro",28,2007-01-01
2008,"Alagoas","Fevereiro",74,2008-01-01
2009,"Alagoas","Fevereiro",32,2009-01-01
2010,"Alagoas","Fevereiro",26,2010-01-01
2011,"Alagoas","Fevereiro",33,2011-01-01
2012,"Alagoas","Fevereiro",41,2012-01-01
2013,"Alagoas","Fevereiro",19,2013-01-01
2014,"Alagoas","Fevereiro",29,2014-01-01
2015,"Alagoas","Fevereiro",46,2015-01-01
2016,"Alagoas","Fevereiro",14,2016-01-01
2017,"Alagoas","Fevereiro",21,2017-01-01
1998,"Alagoas","Mar�o",0,1998-01-01
1999,"Alagoas","Mar�o",52,1999-01-01
2000,"Alagoas","Mar�o",32,2000-01-01
2001,"Alagoas","Mar�o",0,2001-01-01
2002,"Alagoas","Mar�o",27,2002-01-01
2003,"Alagoas","Mar�o",15,2003-01-01
2004,"Alagoas","Mar�o",16,2004-01-01
2005,"Alagoas","Mar�o",35,2005-01-01
2006,"Alagoas","Mar�o",37,2006-01-01
2007,"Alagoas","Mar�o",7,2007-01-01
2008,"Alagoas","Mar�o",31,2008-01-01
2009,"Alagoas","Mar�o",31,2009-01-01
2010,"Alagoas","Mar�o",70,2010-01-01
2011,"Alagoas","Mar�o",34,2011-01-01
2012,"Alagoas","Mar�o",44,2012-01-01
2013,"Alagoas","Mar�o",31,2013-01-01
2014,"Alagoas","Mar�o",28,2014-01-01
2015,"Alagoas","Mar�o",32,2015-01-01
2016,"Alagoas","Mar�o",9,2016-01-01
2017,"Alagoas","Mar�o",23,2017-01-01
1998,"Alagoas","Abril",0,1998-01-01
1999,"Alagoas","Abril",4,1999-01-01
2000,"Alagoas","Abril",20,2000-01-01
2001,"Alagoas","Abril",0,2001-01-01
2002,"Alagoas","Abril",6,2002-01-01
2003,"Alagoas","Abril",20,2003-01-01
2004,"Alagoas","Abril",6,2004-01-01
2005,"Alagoas","Abril",1,2005-01-01
2006,"Alagoas","Abril",2,2006-01-01
2007,"Alagoas","Abril",1,2007-01-01
2008,"Alagoas","Abril",18,2008-01-01
2009,"Alagoas","Abril",5,2009-01-01
2010,"Alagoas","Abril",3,2010-01-01
2011,"Alagoas","Abril",17,2011-01-01
2012,"Alagoas","Abril",18,2012-01-01
2013,"Alagoas","Abril",25,2013-01-01
2014,"Alagoas","Abril",16,2014-01-01
2015,"Alagoas","Abril",63,2015-01-01
2016,"Alagoas","Abril",13,2016-01-01
2017,"Alagoas","Abril",7,2017-01-01
1998,"Alagoas","Maio",0,1998-01-01
1999,"Alagoas","Maio",1,1999-01-01
2000,"Alagoas","Maio",1,2000-01-01
2001,"Alagoas","Maio",2,2001-01-01
2002,"Alagoas","Maio",1,2002-01-01
2003,"Alagoas","Maio",1,2003-01-01
2004,"Alagoas","Maio",3,2004-01-01
2005,"Alagoas","Maio",0,2005-01-01
2006,"Alagoas","Maio",0,2006-01-01
2007,"Alagoas","Maio",0,2007-01-01
2008,"Alagoas","Maio",0,2008-01-01
2009,"Alagoas","Maio",0,2009-01-01
2010,"Alagoas","Maio",0,2010-01-01
2011,"Alagoas","Maio",0,2011-01-01
2012,"Alagoas","Maio",21,2012-01-01
2013,"Alagoas","Maio",2,2013-01-01
2014,"Alagoas","Maio",1,2014-01-01
2015,"Alagoas","Maio",18,2015-01-01
2016,"Alagoas","Maio",4,2016-01-01
2017,"Alagoas","Maio",1,2017-01-01
1998,"Alagoas","Junho",0,1998-01-01
1999,"Alagoas","Junho",0,1999-01-01
2000,"Alagoas","Junho",0,2000-01-01
2001,"Alagoas","Junho",2,2001-01-01
2002,"Alagoas","Junho",0,2002-01-01
2003,"Alagoas","Junho",0,2003-01-01
2004,"Alagoas","Junho",0,2004-01-01
2005,"Alagoas","Junho",0,2005-01-01
2006,"Alagoas","Junho",0,2006-01-01
2007,"Alagoas","Junho",0,2007-01-01
2008,"Alagoas","Junho",0,2008-01-01
2009,"Alagoas","Junho",0,2009-01-01
2010,"Alagoas","Junho",0,2010-01-01
2011,"Alagoas","Junho",2,2011-01-01
2012,"Alagoas","Junho",4,2012-01-01
2013,"Alagoas","Junho",1,2013-01-01
2014,"Alagoas","Junho",2,2014-01-01
2015,"Alagoas","Junho",2,2015-01-01
2016,"Alagoas","Junho",5,2016-01-01
2017,"Alagoas","Junho",2,2017-01-01
1998,"Alagoas","Julho",0,1998-01-01
1999,"Alagoas","Julho",0,1999-01-01
2000,"Alagoas","Julho",0,2000-01-01
2001,"Alagoas","Julho",0,2001-01-01
2002,"Alagoas","Julho",5,2002-01-01
2003,"Alagoas","Julho",0,2003-01-01
2004,"Alagoas","Julho",0,2004-01-01
2005,"Alagoas","Julho",0,2005-01-01
2006,"Alagoas","Julho",0,2006-01-01
2007,"Alagoas","Julho",0,2007-01-01
2008,"Alagoas","Julho",0,2008-01-01
2009,"Alagoas","Julho",0,2009-01-01
2010,"Alagoas","Julho",2,2010-01-01
2011,"Alagoas","Julho",0,2011-01-01
2012,"Alagoas","Julho",0,2012-01-01
2013,"Alagoas","Julho",0,2013-01-01
2014,"Alagoas","Julho",1,2014-01-01
2015,"Alagoas","Julho",0,2015-01-01
2016,"Alagoas","Julho",3,2016-01-01
2017,"Alagoas","Julho",0,2017-01-01
1998,"Alagoas","Agosto",1,1998-01-01
1999,"Alagoas","Agosto",3,1999-01-01
2000,"Alagoas","Agosto",4,2000-01-01
2001,"Alagoas","Agosto",1,2001-01-01
2002,"Alagoas","Agosto",3,2002-01-01
2003,"Alagoas","Agosto",2,2003-01-01
2004,"Alagoas","Agosto",2,2004-01-01
2005,"Alagoas","Agosto",2,2005-01-01
2006,"Alagoas","Agosto",1,2006-01-01
2007,"Alagoas","Agosto",3,2007-01-01
2008,"Alagoas","Agosto",1,2008-01-01
2009,"Alagoas","Agosto",0,2009-01-01
2010,"Alagoas","Agosto",1,2010-01-01
2011,"Alagoas","Agosto",4,2011-01-01
2012,"Alagoas","Agosto",0,2012-01-01
2013,"Alagoas","Agosto",0,2013-01-01
2014,"Alagoas","Agosto",3,2014-01-01
2015,"Alagoas","Agosto",3,2015-01-01
2016,"Alagoas","Agosto",5,2016-01-01
2017,"Alagoas","Agosto",1,2017-01-01
1998,"Alagoas","Setembro",14,1998-01-01
1999,"Alagoas","Setembro",3,1999-01-01
2000,"Alagoas","Setembro",22,2000-01-01
2001,"Alagoas","Setembro",5,2001-01-01
2002,"Alagoas","Setembro",14,2002-01-01
2003,"Alagoas","Setembro",8,2003-01-01
2004,"Alagoas","Setembro",5,2004-01-01
2005,"Alagoas","Setembro",7,2005-01-01
2006,"Alagoas","Setembro",4,2006-01-01
2007,"Alagoas","Setembro",2,2007-01-01
2008,"Alagoas","Setembro",9,2008-01-01
2009,"Alagoas","Setembro",13,2009-01-01
2010,"Alagoas","Setembro",5,2010-01-01
2011,"Alagoas","Setembro",5,2011-01-01
2012,"Alagoas","Setembro",6,2012-01-01
2013,"Alagoas","Setembro",4,2013-01-01
2014,"Alagoas","Setembro",11,2014-01-01
2015,"Alagoas","Setembro",7,2015-01-01
2016,"Alagoas","Setembro",18,2016-01-01
2017,"Alagoas","Setembro",4,2017-01-01
1998,"Alagoas","Outubro",20,1998-01-01
1999,"Alagoas","Outubro",4,1999-01-01
2000,"Alagoas","Outubro",13,2000-01-01
2001,"Alagoas","Outubro",15,2001-01-01
2002,"Alagoas","Outubro",30,2002-01-01
2003,"Alagoas","Outubro",10,2003-01-01
2004,"Alagoas","Outubro",12,2004-01-01
2005,"Alagoas","Outubro",17,2005-01-01
2006,"Alagoas","Outubro",32,2006-01-01
2007,"Alagoas","Outubro",6,2007-01-01
2008,"Alagoas","Outubro",18,2008-01-01
2009,"Alagoas","Outubro",30,2009-01-01
2010,"Alagoas","Outubro",16,2010-01-01
2011,"Alagoas","Outubro",23,2011-01-01
2012,"Alagoas","Outubro",28,2012-01-01
2013,"Alagoas","Outubro",25,2013-01-01
2014,"Alagoas","Outubro",7,2014-01-01
2015,"Alagoas","Outubro",40,2015-01-01
2016,"Alagoas","Outubro",74,2016-01-01
2017,"Alagoas","Outubro",14,2017-01-01
1998,"Alagoas","Novembro",19,1998-01-01
1999,"Alagoas","Novembro",15,1999-01-01
2000,"Alagoas","Novembro",2,2000-01-01
2001,"Alagoas","Novembro",22,2001-01-01
2002,"Alagoas","Novembro",50,2002-01-01
2003,"Alagoas","Novembro",17,2003-01-01
2004,"Alagoas","Novembro",28,2004-01-01
2005,"Alagoas","Novembro",25,2005-01-01
2006,"Alagoas","Novembro",12,2006-01-01
2007,"Alagoas","Novembro",15,2007-01-01
2008,"Alagoas","Novembro",37,2008-01-01
2009,"Alagoas","Novembro",55,2009-01-01
2010,"Alagoas","Novembro",31,2010-01-01
2011,"Alagoas","Novembro",23,2011-01-01
2012,"Alagoas","Novembro",95,2012-01-01
2013,"Alagoas","Novembro",10,2013-01-01
2014,"Alagoas","Novembro",14,2014-01-01
2015,"Alagoas","Novembro",162,2015-01-01
2016,"Alagoas","Novembro",76,2016-01-01
2017,"Alagoas","Novembro",10,2017-01-01
1998,"Alagoas","Dezembro",32,1998-01-01
1999,"Alagoas","Dezembro",12,1999-01-01
2000,"Alagoas","Dezembro",2,2000-01-01
2001,"Alagoas","Dezembro",30,2001-01-01
2002,"Alagoas","Dezembro",95,2002-01-01
2003,"Alagoas","Dezembro",43,2003-01-01
2004,"Alagoas","Dezembro",71,2004-01-01
2005,"Alagoas","Dezembro",16,2005-01-01
2006,"Alagoas","Dezembro",30,2006-01-01
2007,"Alagoas","Dezembro",33,2007-01-01
2008,"Alagoas","Dezembro",34,2008-01-01
2009,"Alagoas","Dezembro",55,2009-01-01
2010,"Alagoas","Dezembro",45,2010-01-01
2011,"Alagoas","Dezembro",50,2011-01-01
2012,"Alagoas","Dezembro",59,2012-01-01
2013,"Alagoas","Dezembro",42,2013-01-01
2014,"Alagoas","Dezembro",24,2014-01-01
2015,"Alagoas","Dezembro",136,2015-01-01
2016,"Alagoas","Dezembro",155,2016-01-01
1998,"Amapa","Janeiro",0,1998-01-01
1999,"Amapa","Janeiro",0,1999-01-01
2000,"Amapa","Janeiro",2,2000-01-01
2001,"Amapa","Janeiro",0,2001-01-01
2002,"Amapa","Janeiro",7,2002-01-01
2003,"Amapa","Janeiro",31,2003-01-01
2004,"Amapa","Janeiro",38,2004-01-01
2005,"Amapa","Janeiro",109,2005-01-01
2006,"Amapa","Janeiro",6,2006-01-01
2007,"Amapa","Janeiro",0,2007-01-01
2008,"Amapa","Janeiro",2,2008-01-01
2009,"Amapa","Janeiro",4,2009-01-01
2010,"Amapa","Janeiro",2,2010-01-01
2011,"Amapa","Janeiro",0,2011-01-01
2012,"Amapa","Janeiro",30,2012-01-01
2013,"Amapa","Janeiro",3,2013-01-01
2014,"Amapa","Janeiro",10,2014-01-01
2015,"Amapa","Janeiro",14,2015-01-01
2016,"Amapa","Janeiro",19,2016-01-01
2017,"Amapa","Janeiro",2,2017-01-01
1998,"Amapa","Fevereiro",0,1998-01-01
1999,"Amapa","Fevereiro",1,1999-01-01
2000,"Amapa","Fevereiro",0,2000-01-01
2001,"Amapa","Fevereiro",0,2001-01-01
2002,"Amapa","Fevereiro",2,2002-01-01
2003,"Amapa","Fevereiro",0,2003-01-01
2004,"Amapa","Fevereiro",2,2004-01-01
2005,"Amapa","Fevereiro",1,2005-01-01
2006,"Amapa","Fevereiro",2,2006-01-01
2007,"Amapa","Fevereiro",0,2007-01-01
2008,"Amapa","Fevereiro",0,2008-01-01
2009,"Amapa","Fevereiro",0,2009-01-01
2010,"Amapa","Fevereiro",0,2010-01-01
2011,"Amapa","Fevereiro",3,2011-01-01
2012,"Amapa","Fevereiro",5,2012-01-01
2013,"Amapa","Fevereiro",0,2013-01-01
2014,"Amapa","Fevereiro",2,2014-01-01
2015,"Amapa","Fevereiro",1,2015-01-01
2016,"Amapa","Fevereiro",1,2016-01-01
2017,"Amapa","Fevereiro",0,2017-01-01
1998,"Amapa","Mar�o",0,1998-01-01
1999,"Amapa","Mar�o",2,1999-01-01
2000,"Amapa","Mar�o",0,2000-01-01
2001,"Amapa","Mar�o",0,2001-01-01
2002,"Amapa","Mar�o",0,2002-01-01
2003,"Amapa","Mar�o",1,2003-01-01
2004,"Amapa","Mar�o",0,2004-01-01
2005,"Amapa","Mar�o",0,2005-01-01
2006,"Amapa","Mar�o",0,2006-01-01
2007,"Amapa","Mar�o",0,2007-01-01
2008,"Amapa","Mar�o",1,2008-01-01
2009,"Amapa","Mar�o",1,2009-01-01
2010,"Amapa","Mar�o",2,2010-01-01
2011,"Amapa","Mar�o",0,2011-01-01
2012,"Amapa","Mar�o",1,2012-01-01
2013,"Amapa","Mar�o",0,2013-01-01
2014,"Amapa","Mar�o",1,2014-01-01
2015,"Amapa","Mar�o",2,2015-01-01
2016,"Amapa","Mar�o",5,2016-01-01
2017,"Amapa","Mar�o",0,2017-01-01
1998,"Amapa","Abril",0,1998-01-01
1999,"Amapa","Abril",0,1999-01-01
2000,"Amapa","Abril",0,2000-01-01
2001,"Amapa","Abril",0,2001-01-01
2002,"Amapa","Abril",0,2002-01-01
2003,"Amapa","Abril",2,2003-01-01
2004,"Amapa","Abril",0,2004-01-01
2005,"Amapa","Abril",0,2005-01-01
2006,"Amapa","Abril",0,2006-01-01
2007,"Amapa","Abril",0,2007-01-01
2008,"Amapa","Abril",2,2008-01-01
2009,"Amapa","Abril",0,2009-01-01
2010,"Amapa","Abril",2,2010-01-01
2011,"Amapa","Abril",0,2011-01-01
2012,"Amapa","Abril",2,2012-01-01
2013,"Amapa","Abril",2,2013-01-01
2014,"Amapa","Abril",0,2014-01-01
2015,"Amapa","Abril",0,2015-01-01
2016,"Amapa","Abril",0,2016-01-01
2017,"Amapa","Abril",3,2017-01-01
1998,"Amapa","Maio",0,1998-01-01
1999,"Amapa","Maio",0,1999-01-01
2000,"Amapa","Maio",0,2000-01-01
2001,"Amapa","Maio",0,2001-01-01
2002,"Amapa","Maio",3,2002-01-01
2003,"Amapa","Maio",0,2003-01-01
2004,"Amapa","Maio",0,2004-01-01
2005,"Amapa","Maio",0,2005-01-01
2006,"Amapa","Maio",0,2006-01-01
2007,"Amapa","Maio",0,2007-01-01
2008,"Amapa","Maio",0,2008-01-01
2009,"Amapa","Maio",2,2009-01-01
2010,"Amapa","Maio",2,2010-01-01
2011,"Amapa","Maio",2,2011-01-01
2012,"Amapa","Maio",2,2012-01-01
2013,"Amapa","Maio",0,2013-01-01
2014,"Amapa","Maio",0,2014-01-01
2015,"Amapa","Maio",0,2015-01-01
2016,"Amapa","Maio",1,2016-01-01
2017,"Amapa","Maio",1,2017-01-01
1998,"Amapa","Junho",0,1998-01-01
1999,"Amapa","Junho",2,1999-01-01
2000,"Amapa","Junho",0,2000-01-01
2001,"Amapa","Junho",0,2001-01-01
2002,"Amapa","Junho",0,2002-01-01
2003,"Amapa","Junho",0,2003-01-01
2004,"Amapa","Junho",5,2004-01-01
2005,"Amapa","Junho",2,2005-01-01
2006,"Amapa","Junho",0,2006-01-01
2007,"Amapa","Junho",0,2007-01-01
2008,"Amapa","Junho",0,2008-01-01
2009,"Amapa","Junho",1,2009-01-01
2010,"Amapa","Junho",0,2010-01-01
2011,"Amapa","Junho",0,2011-01-01
2012,"Amapa","Junho",7,2012-01-01
2013,"Amapa","Junho",1,2013-01-01
2014,"Amapa","Junho",0,2014-01-01
2015,"Amapa","Junho",3,2015-01-01
2016,"Amapa","Junho",2,2016-01-01
2017,"Amapa","Junho",2,2017-01-01
1998,"Amapa","Julho",0,1998-01-01
1999,"Amapa","Julho",0,1999-01-01
2000,"Amapa","Julho",0,2000-01-01
2001,"Amapa","Julho",1,2001-01-01
